decision_id,decided_utc,stage,decision,rationale,status
D001,2026-09-12T11:11:42Z,protocol,"Freeze protocol version 1.0 locally before computation","Prevents analysis settings from being optimized after observing reproduction results",locked
D002,2026-09-12T11:11:42Z,selection,"Use Pidgeon (2025) as the primary STEM reproduction","Highest-ranked verified engineering/STEM-scope candidate under the frozen prioritization rule",locked
D003,2026-09-12T11:11:42Z,integrity,"Replace P47 s2 (Q Sort !C48) value -14 with +1 only in the normalized copy","Exactly one invalid cell exists and +1 uniquely restores the documented forced distribution",locked
D004,2026-09-12T11:11:42Z,sensitivity,"Repeat the full source reproduction with P47 excluded","Required by the frozen anomaly rule",locked
D005,2026-09-12T11:11:42Z,reproduction,"Use by-person PCA, varimax rotation, and five retained factors for exact source reproduction","Matches the thesis and repository description; alternatives belong to the later robustness stage",locked
D006,2026-09-12T11:11:42Z,flagging,"Preserve both the thesis probability text and its numerical loading rule","The thesis states p < .001 but gives 2.58/sqrt(45) = 0.384, conventionally p < .01; this discrepancy must remain visible",locked
D007,2026-09-12T11:27:20Z,reproduction,"Use Kaiser row normalization for varimax when reconstructing the reported KADE solution","The thesis identifies KADE and varimax but omits this software-default detail; Kaiser normalization reproduces all published loadings within 0.0011 whereas unnormalized varimax does not",documented_post_reproduction
D008,2026-09-12T11:27:20Z,source_targets,"Transcribe factor arrays and distinguishing markers from thesis Figures 6.3-6.7 and Tables 6.4-6.12","All 225 array scores independently reconstruct from published loadings and primary-factor assignments",verified
D009,2026-09-12T11:27:20Z,classification,"Classify the Pidgeon source solution as exact numerical reproduction","Loadings meet 0.01 tolerance; rounded eigenvalues and variance match; 225/225 array scores, 47/47 primary assignments, and 29/29 distinguishing directions agree",locked
D010,2026-09-12T11:35:54Z,robustness_protocol,"Freeze robustness addendum version 1.0 and the 1,000-seed bootstrap list before robustness computation","Fixes simulation counts, seeds, null generation, confounding margin, failure handling, and descriptive classes omitted from the parent protocol",locked
D011,2026-09-12T11:50:19Z,robustness_classification,"Classify the five-factor PCA and centroid solutions as fragile","Under each extraction method fewer than three factors meet all frozen leave-one-sort-out and bootstrap stability criteria; interpretability remains pending independent assessment",locked
D012,2026-09-12T11:50:19Z,determinism,"Accept the nine Stage D outputs as deterministic","SHA-256 hashes were identical before and after an independent repeat of the full frozen robustness run",verified
